name,overallAttribute,closeShot,midRangeShot,threePointShot,freeThrow,shotIQ,offensiveConsistency,layup,standingDunk,drivingDunk,postHook,postFade,postControl,drawFoul,hands,interiorDefense,perimeterDefense,steal,block,lateralQuickness,helpDefenseIQ,passPerception,defensiveConsistency,speed,acceleration,strength,vertical,stamina,hustle,overallDurability,passAccuracy,ballHandle,speedWithBall,passIQ,passVision,offensiveRebound,defensiveRebound
A.J. Green,67.0,60,78,79,90,60,50,71,40,40,34,34,48,45,80,40,63,50,40,66,50,60,45,69,69,42,75,80,75,80,61,70,68,68,58,31,42
A.J. Lawson,67.0,70,68,75,55,60,50,68,5,75,52,52,55,42,75,48,60,55,39,67,60,65,50,74,74,34,80,85,80,80,62,69,69,64,37,37,38
AJ Griffin,72.0,74,74,81,79,60,60,74,60,85,51,52,52,42,80,69,70,55,56,77,69,60,50,84,84,64,87,90,85,80,69,71,79,69,43,50,51
Aaron Gordon,79.0,75,74,76,75,65,70,84,95,95,58,60,74,60,95,74,76,36,56,76,75,68,75,71,67,72,92,95,90,84,65,62,66,60,43,55,62
Aaron Holiday,75.0,91,78,81,79,85,75,76,25,60,25,45,32,47,80,34,68,59,42,75,67,69,45,76,77,49,56,85,85,84,82,86,76,82,70,37,50
Aaron Nesmith,71.0,78,70,67,70,90,75,69,35,55,41,53,39,54,76,35,65,49,45,66,72,52,35,61,62,52,67,87,65,81,69,70,60,65,30,39,60
Aaron Wiggins,73.0,92,70,73,77,80,75,80,35,45,38,40,39,60,76,35,59,40,45,73,47,40,45,84,84,45,72,80,65,80,64,70,75,68,36,46,52
Admiral Schofield,69.0,70,72,76,70,55,45,70,45,65,62,62,59,47,80,59,66,30,50,74,60,57,45,59,59,65,78,85,80,80,59,73,59,62,34,43,66
Al Horford,82.0,89,96,77,86,60,55,65,75,65,76,84,83,50,84,82,68,40,81,67,85,78,85,53,48,91,69,95,85,78,79,50,33,84,63,55,81
Alec Burks,76.0,71,74,83,82,85,90,78,40,69,40,58,78,70,77,45,72,53,51,72,74,70,55,78,78,48,69,89,72,85,72,79,76,73,61,35,67
Aleksej Pokusevski,75.0,84,71,71,79,95,70,76,70,70,54,54,62,40,75,67,67,43,68,54,67,57,50,60,60,49,60,84,60,79,59,62,52,54,63,55,78
Alex Caruso,77.0,73,67,76,86,65,60,78,35,75,30,43,29,60,68,31,89,93,51,87,88,89,90,82,82,31,72,85,85,81,78,78,82,80,67,41,52
Alex Len,74.0,88,61,70,66,95,65,74,80,65,74,48,76,59,64,74,44,37,74,50,78,62,50,43,44,75,60,80,92,78,31,32,25,45,41,67,74
Alize Johnson,72.0,73,72,69,74,60,35,70,70,70,57,54,64,40,80,64,44,40,52,64,63,55,35,54,55,60,53,80,80,85,64,68,50,65,33,91,81
Alondes Williams,68.0,72,72,66,70,60,50,73,40,70,44,48,49,50,80,44,60,35,55,69,52,50,50,84,84,68,78,88,80,80,65,77,77,68,64,52,55
Alperen Sengun,77.0,78,50,66,71,90,70,79,65,65,78,78,78,72,80,69,63,56,80,64,69,85,60,52,52,68,49,80,80,80,63,54,48,62,68,70,72
Amir Coffey,75.0,88,69,81,88,70,85,84,25,40,38,53,54,69,81,47,64,40,45,69,68,64,50,75,75,52,75,80,70,79,72,75,75,74,43,34,52
Andre Drummond,79.0,84,47,47,56,40,40,73,95,85,70,45,75,40,80,77,52,83,81,52,74,70,70,60,58,95,79,89,85,81,52,45,49,70,53,95,97
Andrew Nembhard,70.0,73,73,74,79,59,50,72,39,60,44,52,47,44,75,42,54,50,36,70,51,52,50,76,76,46,71,85,69,80,77,75,74,75,74,39,44
Andrew Wiggins,84.0,91,76,83,72,95,95,77,40,92,65,74,77,65,85,55,82,70,61,83,80,79,75,82,82,57,97,98,90,83,72,82,80,75,42,45,52
Anfernee Simons,80.0,93,85,84,91,95,95,89,40,89,25,44,32,69,75,34,59,36,35,76,50,55,40,86,89,27,90,79,85,80,79,84,79,82,71,33,46
Anthony Davis,90.0,89,74,70,72,80,90,85,90,88,83,86,86,70,95,94,80,49,87,78,97,82,95,79,78,92,86,97,98,78,60,75,67,72,58,65,81
Anthony Edwards,86.0,79,84,79,76,98,98,93,50,95,60,62,62,88,98,50,74,59,57,78,74,70,65,89,89,52,86,89,90,83,74,84,83,79,65,37,56
Anthony Gill,72.0,88,72,78,81,70,65,70,75,75,62,60,60,40,74,66,60,31,60,50,50,58,50,69,67,60,79,80,88,80,38,54,53,55,35,65,55
Armoni Brooks,71.0,76,79,72,81,98,80,69,30,55,39,36,28,65,70,32,64,46,52,70,60,48,45,70,70,45,66,80,80,81,70,76,69,69,41,37,51
Austin Reaves,74.0,89,76,74,86,85,80,70,25,70,31,32,32,54,85,35,73,37,52,73,73,70,65,83,83,44,81,85,80,80,70,73,78,74,40,41,52
Austin Rivers,73.0,89,65,77,71,70,45,80,25,65,31,43,42,60,70,35,79,49,35,79,78,60,75,77,77,44,82,93,80,82,75,86,77,77,35,32,42
Ayo Dosunmu,76.0,80,92,81,78,80,80,79,25,75,35,50,42,69,87,38,69,42,51,78,68,69,65,76,76,52,75,85,75,80,72,79,73,79,63,32,49
Bam Adebayo,87.0,88,73,69,76,60,80,81,85,80,80,80,82,84,90,92,79,66,66,73,92,80,90,74,74,85,83,92,90,90,72,69,66,74,65,70,87
Ben Simmons,83.0,84,46,58,61,70,85,90,83,86,76,73,78,80,98,79,87,83,56,86,89,92,90,92,92,80,85,97,97,83,79,86,84,89,76,52,72
Bennedict Mathurin,73.0,73,77,81,77,70,60,74,35,80,55,58,55,52,80,42,69,54,33,78,65,62,50,84,84,54,82,92,85,80,75,75,81,82,38,51,62
Bismack Biyombo,72.0,89,62,25,45,25,30,60,80,68,48,45,54,69,35,82,50,38,82,55,85,54,65,48,48,80,63,79,95,83,25,35,25,74,32,88,80
Blake Wesley,71.0,72,73,72,66,70,60,74,40,86,54,57,50,59,80,49,71,41,42,74,60,63,50,78,78,40,84,92,75,80,69,83,77,68,54,34,64
Boban Marjanovic,73.0,83,70,63,77,75,55,50,95,60,69,60,76,70,40,73,30,25,61,35,65,73,65,25,25,71,40,70,45,65,60,35,25,35,29,59,88
Bobby Portis,80.0,93,85,83,79,92,80,74,75,70,80,80,82,74,85,78,40,41,63,50,75,65,65,65,64,80,64,85,90,84,55,52,59,52,32,68,85
Bogdan Bogdanovic,80.0,89,91,80,89,75,90,79,50,65,62,57,57,69,85,51,63,53,42,75,60,60,50,75,75,63,78,89,67,77,74,79,73,79,61,33,58
Bojan Bogdanovic,80.0,91,74,82,85,90,85,79,40,70,49,60,64,75,70,54,78,35,25,77,75,62,70,67,62,60,72,93,75,84,77,74,66,82,36,40,54
Bol Bol,71.0,78,79,78,75,57,50,64,85,70,70,68,70,62,75,72,52,36,88,58,64,49,40,68,68,65,69,80,50,77,50,67,60,40,31,60,67
Bradley Beal,87.0,85,87,82,84,85,95,95,30,84,55,55,54,95,92,45,66,40,47,75,75,65,40,76,83,62,87,98,78,82,82,88,76,85,75,40,53
Brandon Boston Jr.,72.0,37,74,73,84,85,80,79,30,80,30,30,30,44,78,49,62,49,55,72,52,50,30,79,79,50,80,80,75,83,64,76,75,66,40,36,57
Brandon Clarke,76.0,92,72,57,65,60,30,65,80,84,63,62,62,44,80,78,75,43,84,78,78,72,75,82,83,64,82,90,95,80,59,69,65,62,40,75,69
Brandon Ingram,86.0,91,89,81,84,98,98,84,65,80,64,70,70,81,98,61,69,45,52,72,75,68,40,74,74,42,77,95,80,85,75,85,70,79,73,35,68
Brandon Williams,73.0,77,77,71,82,84,80,82,25,50,27,46,50,75,90,33,62,53,55,65,57,52,45,79,79,62,68,89,75,81,75,79,77,79,71,40,49
Braxton Key,67.0,69,69,70,65,40,25,68,75,75,59,58,58,33,74,52,52,76,75,58,52,54,35,69,68,70,81,80,79,80,48,49,59,54,37,58,79
Brook Lopez,80.0,94,83,79,85,70,50,70,80,65,80,78,80,50,80,87,45,41,83,60,88,69,90,25,25,86,60,92,80,79,35,35,25,78,28,59,54
Bruce Brown Jr.,76.0,81,76,84,74,70,70,80,30,70,28,34,42,55,95,58,77,63,66,77,79,75,65,76,78,75,80,92,80,84,79,77,74,75,43,56,62
Bryce McGowens,70.0,71,74,72,83,55,50,74,40,80,42,42,42,55,78,37,66,41,35,75,65,60,65,74,74,48,81,85,75,80,52,74,72,50,38,30,47
Bryn Forbes,73.0,88,80,85,78,92,90,79,35,40,28,52,42,59,78,44,58,36,32,69,56,50,30,68,68,37,72,80,76,83,52,70,67,50,35,29,42
Buddy Boeheim,68.0,68,77,79,84,70,50,70,45,60,44,47,48,40,80,42,59,32,56,59,52,55,45,57,57,44,70,80,80,80,62,68,57,62,54,45,47
Buddy Hield,78.0,81,83,85,85,90,85,75,25,65,28,45,48,59,94,48,69,42,47,74,54,60,50,75,78,41,78,90,60,82,70,79,74,70,53,39,57
C.J. Elleby,72.0,58,70,71,76,98,75,69,40,50,35,51,45,59,85,48,67,43,56,71,62,60,50,69,69,58,72,81,68,81,50,62,64,60,41,55,65
C.J. McCollum,85.0,91,92,85,70,98,98,88,30,40,38,46,32,79,91,35,70,46,50,76,70,50,65,82,84,60,80,98,95,80,78,86,82,82,73,37,53
Cade Cunningham,84.0,83,81,80,83,95,98,83,40,75,60,62,60,78,98,59,75,53,58,80,75,76,75,83,83,62,80,88,80,80,80,86,83,84,74,39,66
Caleb Houstan,70.0,64,76,76,78,55,50,70,25,25,32,32,32,44,80,47,64,44,35,70,60,55,45,78,78,40,72,86,70,80,62,70,72,65,44,44,47
Caleb Martin,76.0,56,82,84,73,95,85,86,25,70,55,54,54,70,75,68,75,63,62,74,74,72,70,55,55,58,74,85,90,80,62,69,54,69,33,54,58
Cam Reddish,74.0,82,58,79,91,40,75,78,50,80,43,52,47,70,95,55,81,70,53,81,80,80,75,85,85,52,84,90,65,80,68,81,79,69,33,38,46
Cameron Johnson,80.0,88,62,86,87,89,90,79,60,60,69,69,69,64,57,65,69,46,45,70,64,68,65,70,69,60,79,85,86,78,59,59,43,66,34,38,61
