player,2020,2021,2022,2023
Stephen Curry,40231758,43006362,45780966,48070014
John Wall,38506482,41358814,44310840,47345760
Russell Westbrook,38506482,41358814,44310840,47080179
LeBron James,38199000,41254920,44211146,44474988
Kevin Durant,38199000,41254920,42018900,44119845
Bradley Beal,37436858,40108950,41180544,43279250
Kawhi Leonard,37199000,39219566,39344970,42492492
Paul George,34449964,35450412,39344900,42492492
Giannis Antetokounmpo,33296296,35361360,39344900,42492492
Damian Lillard,33005556,34502132,39344900,42492492
Klay Thompson,32742000,34379100,37980720,40600080
Kyrie Irving,32742000,34379100,36016200,38917057
Rudy Gobert,32742000,34379100,35995950,38172414
Khris Middleton,32742000,34358850,35500000,37984276
Anthony Davis,32742000,33900241,35361360,37980720
Jimmy Butler,32700690,33722850,35344828,37653300
Tobias Harris,32511623,33051724,35328700,37633050
Kemba Walker,31742000,32742000,34967442,37281261
Trae Young,30603448,31626953,33724200,37096500
Zach LaVine,30350000,31258256,33003936,37096500
Luka Doncic,29802321,30559200,33003936,37096500
Ben Simmons,28942830,30559200,32405817,35448672
Pascal Siakam,28000000,30500000,31650600,35448672
Myles Turner,28000000,29592695,31650600,35096500
Jrue Holiday,27739975,29542010,31650600,34319520
Karl-Anthony Towns,27556959,29542010,31579390,33833400
Devin Booker,27504630,29542010,31579390,33833400
Kristaps Porzingis,27504630,29467800,31258256,33833400
Andrew Wiggins,27504630,29467800,31171333,33616770
Joel Embiid,27285000,29467800,31044906,33616770
CJ McCollum,27285000,29354152,30864198,33333333
Nikola Jokic,27285000,28751774,30800000,33047803
James Harden,27285000,28751774,30013500,33000000
Jamal Murray,27250576,28649250,29925000,31650600
Brandon Ingram,27093019,28500000,29467800,31650600
D'Angelo Russell,27093018,28489239,29467800,31377750
Donovan Mitchell,27093018,27739975,28103500,30913750
Michael Porter,27093018,27528088,28103500,30913750
Shai Gilgeous-Alexander,26131111,27525281,28103500,30913750
Deandre Ayton,26000000,27500000,28103500,30913750
Kevin Love,25842697,27285000,27000000,30556968
Jayson Tatum,25842697,27285000,26984128,30351780
Bam Adebayo,25595700,27026011,26758928,30351780
De'Aaron Fox,25565217,26000000,26000000,30351780
Gordon Hayward,25258427,25035118,24026712,30075000
Jaylen Brown,25102512,24931817,24000000,29776785
Jaren Jackson Jr,24147727,22246956,23073234,28946605
Chris Paul,23271604,22215909,23000000,28400000
Kyle Lowry,22615559,21250000,21700000,28333334
Jalen Brunson,21000000,21000000,21306816,27733332
DeMar DeRozan,20025127,20700000,21000000,27300000
Al Horford,20000000,19845000,20932143,26500000
Draymond Green,19894737,19800000,20475000,25806468
Julius Randle,19863636,19610714,20284091,23760000
John Collins,19500000,19500000,20002500,23500000
Mike Conley,19269663,19500000,20000000,22680000
Malcolm Brogdon,19217900,19050000,19800000,22600000
Anfernee Simons,19000000,18975000,19675926,22321429
Nikola Vucevic,18606556,18900000,19500000,22000000
Terry Rozier,18539130,18136364,19348907,21486316
Fred VanVleet,18539130,18000000,19314284,21250000
Buddy Hield,18189286,18000000,18700000,21177750
Domantas Sabonis,18000000,18000000,18604651,21100000
Jerami Grant,18000000,18000000,18500000,20955000
Aaron Gordon,17650000,17850000,18218818,20690909
Mikal Bridges,17185185,17628340,18125000,20100000
Jarrett Allen,17150000,17587688,18000000,20000000
Nicolas Batum,17000000,17150000,18000000,19700319
Tim Hardaway Jr,17000000,17000000,17905263,19602273
Eric Gordon,16896552,16875000,17800000,19568360
Bojan Bogdanovic,16229213,16869267,17603448,19550000
Lonzo Ball,16200000,16203704,17500000,19534884
Spencer Dinwiddie,16000000,16071429,17400000,19500000
Danilo Gallinari,15643750,16047100,17357143,19479000
Caris LeVert,15625000,15500000,17142857,18796296
Joe Harris,15625000,15415730,17073171,18642857
Harrison Barnes,15500000,15365853,16500000,18352273
Clint Capela,15450051,15000000,16409091,18206896
Bogdan Bogdanovic,15349400,15000000,16225000,18000000
Evan Fournier,15000000,15000000,16071429,18000000
Steven Adams,15000000,14883721,16000000,17926829
Jonathan Isaac,14634147,14500000,15690909,17400000
OG Anunoby,14500000,14375000,15678571,17357143
Gary Trent Jr,14471910,14286000,15650000,17280000
Marcus Smart,14057730,13723214,15627907,17207142
Derrick White,14041096,13545000,15625000,17142857
Dejounte Murray,13486300,13535714,15517242,17071120
Mitchell Robinson,13437500,13500000,15428880,17045454
Duncan Robinson,13333334,13425895,14491964,16902000
Norman Powell,13290395,13333333,14320987,16758621
Collin Sexton,13000000,13015874,14190000,16700000
Markelle Fultz,12900000,13013700,14000000,16500000
Lauri Markkanen,12776786,13000000,13839285,16475454
Marcus Morris,12759670,12946428,13750000,16372093
Davis Bertans,12727273,12888889,13666667,16000000
Jusuf Nurkic,12678571,12819650,13445120,15625000
Malik Beasley,12667885,12800000,13347727,15558035
Luguentz Dort,12553571,12697675,13334375,15277778
Will Barton,12500000,12650000,13302325,15059712
Tyus Jones,12345680,12600000,13038862,15000000
Jonas Valanciunas,12200000,12288697,13036364,14700000
Derrick Rose,12093024,12250000,13000000,14520730
Kevin Huerter,12000000,12178571,12975471,14508929
Christian Wood,12000000,12138345,12940000,14317459
Wendell Carter,11454546,12073020,12632950,14150000
Kentavious Caldwell-Pope,11392857,12000000,12500000,14004703
Brook Lopez,11301219,11709091,12420000,13906976
Patrick Beverley,11286515,11608231,12200000,13801614
Doug McDermott,11060000,11500000,12195122,13750000
Luke Kennard,11011234,11454048,12026998,13745455
Zion Williamson,10740740,11400000,12000000,13534817
Jordan Clarkson,10605600,11080125,12000000,13340000
