Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bam Adebayo,C,25,MIA,23,23,850,167,347,0.481,0,3,0.0,167,344,0.485,0.481,78,95,0.821,63,164,227,85,20,15,62,71,412
2,Santi Aldama,PF,22,MEM,6,0,101,15,33,0.455,7,15,0.467,8,18,0.444,0.561,2,2,1.0,7,19,26,7,3,0,2,5,39
3,Nickeil Alexander-Walker,SG,24,MIN,5,4,148,15,35,0.429,10,25,0.4,5,10,0.5,0.571,2,3,0.667,1,9,10,7,3,1,4,9,42
4,Grayson Allen,SG,27,MIL,5,5,149,19,41,0.463,14,29,0.483,5,12,0.417,0.634,6,7,0.857,1,11,12,9,2,0,4,7,58
5,Jarrett Allen,C,24,CLE,5,5,191,22,36,0.611,0,0,,22,36,0.611,0.611,3,6,0.5,15,22,37,12,4,5,3,10,47
6,Kyle Anderson,PF,29,MIN,4,0,104,15,30,0.5,2,6,0.333,13,24,0.542,0.533,2,2,1.0,3,13,16,18,7,2,6,13,34
7,Giannis Antetokounmpo,PF,28,MIL,3,3,91,28,53,0.528,0,3,0.0,28,50,0.56,0.528,14,31,0.452,8,25,33,16,1,2,14,9,70
8,Thanasis Antetokounmpo,PF,30,MIL,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
9,Deandre Ayton,C,24,PHO,10,10,319,61,111,0.55,0,0,,61,111,0.55,0.55,12,23,0.522,29,68,97,10,6,7,17,35,134
10,Patrick Baldwin Jr.,SF,20,GSW,3,0,11,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,3,3,1,0,0,0,0,0
11,Mo Bamba,C,24,LAL,3,0,10,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,3,3,1,0,1,0,0,0
12,Desmond Bane,SG,24,MEM,6,6,231,49,116,0.422,16,50,0.32,33,66,0.5,0.491,27,29,0.931,7,29,36,19,3,0,17,19,141
