name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
Kevin Durant,90,SF,PF,6'9,240,85,85,80,97,83,92,88,54,79,64,74,64,82,85,74,74,71,57,88,69,74,80,69,67,72,62,80,79,81,69,31,60,79,26,63,98,98
Klay Thompson,87,SG,SF,6'7,215,85,85,87,93,79,87,83,32,62,58,71,32,75,87,68,71,64,59,88,82,68,73,74,38,77,61,87,87,87,85,40,52,92,30,47,95,89
C.J. McCollum,85,SG,,6'3,190,80,88,84,95,81,88,78,28,38,67,30,36,44,89,80,82,78,58,96,93,80,84,73,51,78,33,66,67,74,48,36,45,58,37,47,98,87
John Wall,84,PG,,6'4,210,64,72,66,96,64,89,87,25,79,73,36,29,51,84,85,84,82,54,89,89,85,84,79,80,90,32,79,76,81,86,57,56,79,26,44,95,88
Louis Williams,82,SG,PG,6'1,175,81,76,76,95,85,95,86,25,42,81,27,25,57,85,77,77,69,28,82,61,77,85,75,75,79,25,62,57,71,45,38,32,52,33,45,98,84
DeMarcus Cousins,79,C,,6'11,270,78,63,62,90,68,69,78,89,76,77,82,85,85,89,57,56,65,88,92,64,54,66,54,64,78,64,42,64,43,62,70,77,39,49,82,95,86
Enes Kanter,79,C,,6'11,250,69,69,68,90,76,87,80,82,55,66,85,82,80,82,59,25,57,85,83,92,30,47,37,42,61,49,25,36,25,42,33,49,27,87,84,95,80
Otto Porter,79,SF,PF,6'8,198,86,75,80,90,77,76,76,41,66,48,54,61,63,80,64,63,69,56,89,76,62,75,66,37,83,59,69,62,72,60,66,52,41,37,64,95,81
Terry Rozier III,77,PG,SG,6'1,190,63,71,76,97,78,79,83,39,69,67,47,44,52,89,81,81,80,61,80,69,81,85,83,65,81,54,74,58,77,64,52,49,49,33,65,98,81
R.J. Barrett,77,SF,SG,6'7,210,76,77,69,90,62,65,72,40,70,63,54,47,50,80,79,80,77,49,90,75,77,76,70,61,69,53,64,59,74,50,37,47,40,44,63,95,89
Marcus Morris Sr,77,PF,SF,6'9,235,85,79,78,94,80,66,79,51,66,60,48,56,58,80,69,43,65,71,90,76,45,56,56,30,40,60,64,66,68,57,33,47,56,40,71,95,80
Gerald Green,75,SF,SG,6'7,205,81,67,75,90,80,66,76,51,86,61,47,40,54,75,68,74,90,40,81,62,67,72,56,25,46,45,60,60,69,49,34,52,41,32,50,95,77
Kevin Knox II,75,SF,PF,6'9,215,70,62,74,90,69,62,75,62,72,50,65,56,49,75,72,72,77,67,87,70,69,75,56,28,57,54,66,65,69,66,34,44,37,36,57,95,85
Mohamed Bamba,75,C,,7'0,221,57,69,69,90,56,47,71,87,67,61,61,62,55,77,81,58,72,57,82,87,29,43,32,31,48,74,45,80,61,61,32,87,62,66,82,95,86
Frank Kaminsky III,75,C,PF,7'0,242,88,59,79,90,73,84,77,49,39,67,77,78,78,89,46,52,66,65,88,84,37,53,39,48,49,64,39,62,41,49,34,52,39,51,69,95,78
Pau Gasol,74,C,,7'0,250,70,72,76,94,65,65,67,75,53,55,78,77,76,75,38,27,36,70,76,70,25,38,60,63,72,65,42,65,30,60,28,69,45,53,85,95,84
Patrick Mills,74,PG,,6'0,180,80,70,80,90,83,68,82,25,25,47,25,25,35,71,83,82,64,49,80,68,83,84,73,64,77,25,63,59,70,59,39,33,38,30,45,95,76
Juan Hernangomez,74,SF,PF,6'9,230,29,67,79,92,76,69,67,59,53,41,62,69,67,71,61,61,69,59,79,79,46,63,54,29,61,63,63,61,65,46,36,55,54,49,65,95,77
Cameron Reddish,74,SF,,6'8,208,72,70,69,90,71,49,67,44,74,46,41,37,46,79,79,80,78,46,84,69,73,76,62,38,63,49,64,62,74,63,70,53,44,29,46,95,84
Ivan Rabb,73,PF,C,6'10,220,83,61,42,90,63,52,54,67,52,42,65,62,58,72,60,57,61,52,76,77,42,31,28,37,44,61,34,60,39,46,32,49,27,70,72,95,77
Harry Giles III,73,C,PF,6'10,240,83,73,62,90,63,69,71,74,69,51,69,69,67,79,67,66,74,64,74,79,38,39,64,59,73,67,41,69,59,54,52,61,34,64,75,95,81
Danuel House,72,SF,PF,6'7,220,71,61,77,90,73,64,72,39,59,52,41,41,45,73,57,54,69,44,79,69,54,64,63,25,63,46,49,48,61,42,32,44,25,32,53,95,75
James Ennis,72,SF,PF,6'7,210,65,76,71,90,66,44,72,64,66,54,42,47,51,69,46,51,61,52,74,69,44,62,59,25,66,62,66,66,63,64,40,50,59,45,46,95,73
DeAndre Bembry,72,SF,SG,6'6,210,66,52,68,90,61,62,75,42,65,62,57,37,48,77,64,67,69,57,77,57,64,72,72,55,68,49,63,62,63,59,73,54,42,36,64,95,74
Antonio Blakeney,71,SG,,6'4,192,80,67,78,90,61,70,74,25,60,48,35,31,35,72,75,77,78,48,75,59,74,72,57,30,45,32,53,50,64,49,28,42,25,25,53,95,75
Nicolas Claxton,71,C,,7'0,217,62,60,63,90,60,46,64,71,71,62,58,58,50,76,59,58,75,67,86,81,40,45,36,38,44,66,45,66,50,40,36,76,41,66,62,95,76
Darius Miller,71,SF,,6'8,225,78,77,74,90,73,44,69,34,44,25,39,29,45,74,59,63,79,52,75,62,54,62,46,35,48,42,55,51,61,38,32,45,34,25,35,95,73
Wesley Iwundu,71,SF,SG,6'7,195,51,64,75,90,77,50,67,35,60,49,47,44,53,75,57,59,74,44,75,70,55,69,63,29,57,57,65,61,70,57,33,50,45,35,53,95,74
Dylan Windler,70,SF,SG,6'8,196,59,67,75,90,77,38,64,27,42,29,37,25,36,73,61,62,68,55,73,58,60,62,54,45,56,35,53,50,58,53,57,49,28,52,62,95,80
