name,overall,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding,age,games,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_%,3-point_field_goals,3-point_field_goal_attempts,3-point_field_goal_%,2-point_field_goals,2-point_field_goal_attempts,2-point_field_goal_%,effective_field_goal_%,free_throws,free_throw_attempts,free_throw_%,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,salary,salary_adjusted
LeBron James,93,81,250,81,85,87,88,74,70,36,45,45,1504,422,823,0.513,104,285,0.365,318,538,0.591,0.576,178,255,0.698,29,317,346,350,48,25,168,70,1126,39219566,46417307
Anthony Davis,93,82,253,83,87,84,64,81,77,27,36,36,1162,301,613,0.491,26,100,0.26,275,513,0.536,0.512,158,214,0.738,62,224,286,110,45,59,74,60,786,32742000,38750950
Giannis Antetokounmpo,93,83,242,80,84,85,82,78,84,26,61,61,2013,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,27528088,32580159
Kawhi Leonard,93,79,230,88,76,81,78,84,56,29,52,52,1773,465,908,0.512,101,254,0.398,364,654,0.557,0.568,261,295,0.885,55,282,337,269,81,21,105,82,1292,34379100,40688498
Stephen Curry,92,75,190,92,58,81,89,67,55,32,63,63,2152,658,1365,0.482,337,801,0.421,321,564,0.569,0.605,362,395,0.916,29,316,345,363,77,8,213,119,2015,43006362,50899072
James Harden,92,77,220,88,76,85,86,66,59,93,88,86,3218,684,1468,0.466,242,668,0.362,442,800,0.552,0.548,556,646,0.861,70,626,696,950,106,66,354,198,2166,41254920,48826198
Kevin Durant,92,82,240,90,79,77,79,70,58,32,35,32,1157,324,603,0.537,85,189,0.45,239,414,0.577,0.608,210,238,0.882,13,234,247,195,25,45,120,70,943,40108950,47469914
Damian Lillard,91,74,195,89,63,85,90,62,48,30,67,67,2398,602,1334,0.451,275,704,0.391,327,630,0.519,0.554,449,484,0.928,32,251,283,505,62,17,203,102,1928,31626953,37431265
Luka Doncic,90,79,218,85,77,82,86,63,75,21,66,66,2262,647,1351,0.479,192,548,0.35,455,803,0.567,0.55,344,471,0.73,54,473,527,567,64,36,281,152,1830,8049360,9526612
Kyrie Irving,90,74,193,90,62,79,88,63,47,28,54,54,1886,549,1086,0.506,152,378,0.402,397,708,0.561,0.576,201,218,0.922,52,205,257,324,76,37,130,140,1451,33722850,39911810
Nikola Jokic,90,84,250,88,88,76,78,64,85,25,72,72,2488,732,1293,0.566,92,237,0.388,640,1056,0.606,0.602,342,394,0.868,205,575,780,599,95,48,222,192,1898,29542010,34963685
Joel Embiid,90,84,250,85,86,77,55,71,88,26,51,51,1585,461,899,0.513,58,154,0.377,403,745,0.541,0.545,471,548,0.859,113,426,539,145,50,69,159,123,1451,29542010,34963685
Jimmy Butler,90,79,232,86,73,80,79,79,58,31,52,52,1745,366,736,0.497,25,102,0.245,341,634,0.538,0.514,359,416,0.863,94,265,359,369,108,18,109,71,1116,34379100,40688498
Paul George,89,80,220,82,72,81,76,80,56,30,54,54,1821,445,953,0.467,171,416,0.411,274,537,0.51,0.557,198,228,0.868,45,314,359,280,62,24,179,132,1259,35450412,41956422
Ben Simmons,88,82,230,70,82,85,80,79,60,24,58,58,1877,325,583,0.557,3,10,0.3,322,573,0.562,0.56,176,287,0.613,93,324,417,401,93,35,173,171,829,30559200,36167554
Trae Young,87,73,180,88,55,77,87,52,48,22,63,63,2125,487,1112,0.438,136,397,0.343,351,715,0.491,0.499,484,546,0.886,38,207,245,594,53,12,261,111,1594,6571800,7777884
Chris Paul,87,72,175,88,56,76,86,76,52,35,70,70,2199,439,879,0.499,102,258,0.395,337,621,0.543,0.557,169,181,0.934,25,287,312,622,99,19,156,166,1149,41358814,48949159
Karl-Anthony Towns,87,83,248,86,86,82,67,63,81,25,50,50,1689,425,875,0.486,122,315,0.387,303,560,0.541,0.555,267,311,0.859,133,396,529,225,39,57,160,186,1239,29467800,34875855
Russell Westbrook,87,75,200,79,71,88,86,70,66,32,65,65,2369,544,1238,0.439,86,273,0.315,458,965,0.475,0.474,271,413,0.656,109,641,750,763,89,23,312,190,1445,41358814,48949159
Jayson Tatum,87,80,208,86,72,78,73,77,66,22,64,64,2290,605,1318,0.459,187,485,0.386,418,833,0.502,0.53,295,340,0.868,50,422,472,276,75,31,171,122,1692,9897120,11713481
Donovan Mitchell,87,73,215,89,62,86,79,69,51,24,53,53,1771,478,1091,0.438,178,461,0.386,300,630,0.476,0.52,267,316,0.845,50,185,235,277,52,15,147,117,1401,5195501,6149001
Pascal Siakam,86,81,230,80,81,81,64,75,67,26,56,56,2006,437,961,0.455,73,246,0.297,364,715,0.509,0.493,249,301,0.827,95,310,405,250,64,37,130,174,1196,30559200,36167554
Bradley Beal,86,75,207,86,67,79,80,59,47,27,60,60,2147,670,1382,0.485,130,373,0.349,540,1009,0.535,0.532,408,459,0.889,72,211,283,265,69,22,187,140,1878,28751774,34028421
Rudy Gobert,86,85,245,66,75,63,43,75,88,28,71,71,2187,391,579,0.675,0,4,0.0,391,575,0.68,0.675,233,374,0.623,240,720,960,89,40,190,118,163,1015,27525281,32576837
Devin Booker,86,77,210,88,66,76,82,58,46,24,67,67,2270,623,1287,0.484,126,371,0.34,497,916,0.543,0.533,340,392,0.867,34,247,281,289,53,16,207,181,1712,29467800,34875855
Khris Middleton,86,79,222,89,66,72,72,68,55,29,68,68,2269,511,1074,0.476,151,365,0.414,360,709,0.508,0.546,212,236,0.898,54,352,406,370,74,9,178,160,1385,33051724,39117516
Kemba Walker,85,72,184,84,54,80,86,62,43,30,43,43,1369,284,676,0.42,127,353,0.36,157,323,0.486,0.514,134,149,0.899,16,154,170,212,48,12,88,61,829,34379100,40688498
