name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
T.J. Warren,83,SF,PF,6'8,215,85,67,68,58,55,44,511,SF,27,IND,4,4,117,27,51,0.529,0,7,0.0,27,44,0.614,0.529,8,10,0.8,2,12,14,5,2,0,4,16,62
Jaren Jackson Jr.,82,PF,C,6'11,242,79,75,72,48,70,52,247,C,21,MEM,11,4,258,53,125,0.424,17,60,0.283,36,65,0.554,0.492,35,42,0.833,17,45,62,12,12,18,15,42,158
Dennis Schroder,80,PG,SG,6'1,172,84,49,77,82,55,41,449,SG,27,LAL,61,61,1956,332,760,0.437,71,212,0.335,261,548,0.476,0.484,206,243,0.848,30,181,211,351,70,13,163,159,941
Marvin Bagley III,80,C,PF,6'11,234,78,80,79,51,58,77,25,PF,21,SAC,43,42,1112,247,490,0.504,37,108,0.343,210,382,0.55,0.542,77,134,0.575,106,212,318,43,21,21,59,100,608
Michael Porter Jr.,80,SF,PF,6'10,210,75,66,76,61,57,70,410,SF,22,DEN,61,54,1912,443,817,0.542,170,382,0.445,273,435,0.628,0.646,106,134,0.791,91,354,445,70,40,54,77,126,1162
Kelly Oubre Jr.,80,SF,PF,6'7,205,82,56,75,64,60,53,390,SF,25,GSW,55,50,1687,318,724,0.439,90,285,0.316,228,439,0.519,0.501,123,177,0.695,82,247,329,73,57,42,70,121,849
Larry Nance Jr.,79,PF,C,6'7,230,78,69,74,58,60,70,363,PF,28,CLE,35,27,1091,128,272,0.471,41,114,0.36,87,158,0.551,0.546,30,49,0.612,54,181,235,107,61,17,55,72,327
Tim Hardaway Jr.,78,SG,SF,6'5,205,82,56,70,67,50,40,200,SG,28,DAL,70,31,1985,407,911,0.447,207,529,0.391,200,382,0.524,0.56,142,174,0.816,20,209,229,126,31,11,64,111,1163
Wendell Carter Jr.,78,C,,6'9,255,72,76,71,51,61,79,94,CCC,63,TOTCHIORL,108,88,2750,460,914,0.503,30,102,0.294,430,812,0.53,0.52,262,358,0.732,264,622,886,208,70,84,156,292,1212
Derrick Jones Jr.,77,SF,PF,6'6,200,73,65,77,58,60,55,265,SF,23,POR,58,43,1318,147,304,0.484,43,136,0.316,104,168,0.619,0.554,59,91,0.648,77,128,205,47,37,54,32,127,396
P.J. Washington,77,PF,C,6'7,230,75,69,72,59,56,52,512,PF,22,CHO,64,61,1954,302,686,0.44,112,290,0.386,190,396,0.48,0.522,108,145,0.745,93,325,418,161,69,79,128,171,824
Troy Brown Jr.,77,SF,SG,6'6,215,75,60,70,67,60,59,77,SFSFSF,63,TOTWASCHI,68,0,1048,124,288,0.431,44,140,0.314,80,148,0.541,0.507,30,42,0.714,40,170,210,58,20,12,42,98,322
