name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Porter Jr.,81,PF,,6'10,218,83,86,84,99,75,89,81,57,77,62,65,47,59,99,77,78,85,65,85,77,74,75,62,28,59,57,61,57,70,65,34,64,37,49,75,99,88,452,SF,23,DEN,9,9,265,37,103,0.359,10,48,0.208,27,55,0.491,0.408,5,9,0.556,9,50,59,17,10,2,12,16,89
Jaren Jackson Jr.,81,PF,C,6'11,242,83,71,74,99,75,89,76,82,77,72,78,67,67,99,60,62,72,69,83,77,30,57,42,30,47,79,68,81,73,68,63,86,77,56,77,99,88,270,PF,22,MEM,78,78,2126,430,1036,0.415,128,401,0.319,302,635,0.476,0.477,284,345,0.823,119,335,454,86,73,177,130,272,1272
Wendell Carter Jr.,79,C,,6'10,270,82,67,65,99,68,89,69,75,70,73,76,77,77,99,63,50,63,77,80,80,42,45,51,37,65,73,42,75,45,65,35,62,65,66,80,99,82,96,PF,22,ORL,62,61,1852,359,684,0.525,70,214,0.327,289,470,0.615,0.576,143,207,0.691,139,509,648,171,36,43,117,169,931
Dennis Schroder,78,PG,SG,6'3,172,72,85,74,99,81,89,77,25,42,62,25,25,35,99,81,85,71,43,83,82,81,83,82,70,82,31,70,69,71,64,46,37,57,30,47,99,80,493,PGPGPG,84,TOTBOSHOU,128,58,3674,624,1448,0.431,172,500,0.344,452,948,0.477,0.49,314,368,0.853,68,360,428,592,106,16,286,308,1734
Tim Hardaway Jr.,77,SF,SG,6'5,205,81,72,81,99,78,89,67,32,75,79,35,33,50,99,65,69,75,52,82,80,65,75,72,36,81,42,67,60,72,55,32,34,37,27,50,99,79,217,SG,29,DAL,42,20,1245,209,530,0.394,102,304,0.336,107,226,0.473,0.491,78,103,0.757,13,143,156,92,38,6,34,74,598
T.J. McConnell,76,PG,,6'1,190,85,82,72,99,63,89,76,25,25,37,35,41,55,99,73,73,62,41,82,83,70,76,85,76,83,46,79,67,81,85,86,47,77,38,52,99,78,363,PG,29,IND,27,8,652,100,208,0.481,10,33,0.303,90,175,0.514,0.505,19,23,0.826,20,70,90,131,29,10,29,53,229
Larry Nance Jr.,76,PF,,6'7,245,76,74,74,99,56,89,67,80,80,55,64,53,49,99,60,55,81,64,83,80,44,59,64,52,65,63,43,70,56,84,81,48,50,47,68,99,78,404,C-PFCPF,87,TOTPORNOP,92,22,2080,258,494,0.522,46,140,0.329,212,354,0.599,0.569,80,114,0.702,144,352,496,162,86,40,74,168,642
P.J. Washington,76,PF,C,6'7,230,71,57,78,99,72,89,71,62,77,57,66,59,62,99,72,72,66,65,82,77,60,67,52,43,57,59,49,61,64,59,46,77,37,47,68,99,82,569,C,23,CHO,65,28,1768,250,532,0.47,110,301,0.365,140,231,0.606,0.573,58,81,0.716,82,255,337,147,57,61,82,152,668
Kelly Oubre Jr.,76,SF,,6'7,203,75,57,72,99,67,89,82,37,81,66,30,32,39,99,69,79,85,55,82,72,66,75,67,29,77,46,71,67,73,72,43,59,47,48,61,99,78,432,SF,26,CHO,76,13,1999,410,932,0.44,191,553,0.345,219,379,0.578,0.542,126,189,0.667,79,223,302,84,77,31,67,189,1137
Kevin Porter Jr.,75,SG,,6'4,203,72,77,74,99,71,89,79,37,77,36,41,25,59,99,82,82,72,49,85,69,80,79,72,73,75,41,66,61,72,57,35,44,37,33,48,99,80,451,PG,21,HOU,61,61,1907,335,808,0.415,155,413,0.375,180,395,0.456,0.511,124,193,0.642,43,224,267,376,69,22,192,156,949
Gary Trent Jr.,75,SG,SF,6'5,209,66,76,79,99,75,89,73,37,72,56,43,41,54,99,82,82,82,55,77,67,74,68,67,29,68,47,58,57,71,61,40,34,32,30,41,99,79,547,SG,23,TOR,70,69,2448,450,1086,0.414,209,545,0.383,241,541,0.445,0.511,174,204,0.853,26,165,191,141,122,19,73,144,1283
Marvin Bagley III,74,PF,C,6'11,235,70,60,67,99,47,89,60,75,75,55,69,70,68,99,63,64,76,70,78,70,54,52,37,25,50,60,39,60,47,55,26,46,45,62,70,99,82,24,PFPFPF,66,TOTSACDET,96,50,2306,450,892,0.504,46,194,0.237,404,698,0.579,0.53,134,202,0.663,210,466,676,72,44,36,78,186,1080
Derrick Jones Jr.,73,SF,PF,6'5,210,74,62,74,99,61,85,71,82,84,63,46,37,34,99,74,73,83,56,80,82,58,65,62,26,51,57,56,57,68,65,39,73,27,52,48,99,75,293,PF,24,CHI,51,8,899,105,195,0.538,20,61,0.328,85,134,0.634,0.59,56,70,0.8,60,109,169,30,25,33,30,105,286
Lonnie Walker IV,73,SG,,6'4,204,82,68,74,99,76,89,69,35,70,52,43,43,48,99,80,80,78,59,80,60,72,73,65,33,62,50,69,57,73,60,31,40,30,25,45,99,76,563,SG,23,SAS,70,6,1612,311,764,0.407,111,353,0.314,200,411,0.487,0.48,116,148,0.784,18,163,181,152,44,19,71,98,849
Timothe Luwawu-Cabarrot,72,SF,SG,6'7,220,53,65,76,65,81,45,78,40,75,55,38,35,51,82,79,79,84,42,85,78,73,74,75,36,74,55,75,77,76,54,43,37,45,40,50,65,74,342,SF,26,ATL,52,18,685,74,186,0.398,44,122,0.361,30,64,0.469,0.516,35,41,0.854,17,65,82,40,18,6,20,76,227
D.J. Augustin,72,PG,,5'11,183,40,69,79,99,83,89,71,25,25,37,29,25,56,99,79,79,65,25,82,79,78,78,79,68,81,25,57,51,67,57,37,25,47,31,39,99,76,19,PGPGPG,102,TOTHOULAL,110,4,1766,188,444,0.423,136,328,0.415,52,116,0.448,0.577,76,86,0.884,22,114,136,214,34,2,112,78,588
Joshua Primo,71,SG,SF,6'4,189,65,74,77,99,72,85,66,37,57,46,31,31,31,99,73,73,68,25,82,82,70,67,61,34,61,41,67,67,74,52,49,39,57,41,51,99,81,460,SF,19,SAS,50,16,965,101,270,0.374,42,137,0.307,59,133,0.444,0.452,44,59,0.746,32,81,113,81,20,23,57,79,288
Kira Lewis Jr.,71,PG,,6'1,170,61,57,74,99,77,75,70,25,42,47,29,25,42,99,83,83,67,46,82,77,79,83,72,64,72,31,64,65,72,62,56,47,37,29,39,99,80,330,PG,20,NOP,24,0,341,59,146,0.404,13,58,0.224,46,88,0.523,0.449,10,12,0.833,9,30,39,49,11,1,26,17,141
P.J. Tucker,70,PF,C,6'5,245,71,64,69,99,65,60,45,40,50,26,40,39,38,99,53,53,56,72,78,75,34,55,60,25,59,67,70,64,70,65,32,42,70,34,46,99,78,548,PF,36,MIA,71,70,1981,207,428,0.484,80,193,0.415,127,235,0.54,0.577,45,61,0.738,100,287,387,149,58,15,66,161,539
Santi Aldama,70,C,PF,6'11,224,73,74,74,60,69,65,66,70,60,45,69,69,69,64,44,44,59,70,80,80,40,42,60,55,50,65,54,63,54,59,37,70,45,69,70,45,76,4,PF,21,MEM,32,0,360,53,132,0.402,6,48,0.125,47,84,0.56,0.424,20,32,0.625,33,54,87,21,6,10,16,36,132
Dennis Smith Jr.,70,PG,,6'2,205,60,62,73,99,70,40,70,25,82,46,35,27,28,99,83,84,82,51,85,42,82,83,63,35,52,25,63,62,74,72,71,65,42,37,50,99,76,510,PG,24,POR,37,4,638,79,189,0.418,6,27,0.222,73,162,0.451,0.434,42,64,0.656,20,68,88,132,45,12,51,52,206
Maurice Harkless,70,PF,,6'7,220,59,52,60,99,72,85,68,45,72,40,30,30,32,99,62,66,72,50,75,69,51,53,55,25,38,50,66,68,66,54,46,52,60,25,42,99,73,219,SF,28,SAC,47,24,863,83,181,0.459,31,101,0.307,52,80,0.65,0.544,20,28,0.714,12,100,112,23,29,24,31,77,217
Ish Smith,70,PG,,6'0,175,75,69,67,99,45,75,69,25,25,52,25,25,25,99,77,77,60,25,70,68,77,76,76,62,75,25,64,54,67,42,36,41,40,27,52,99,73,511,PGPGPG,99,TOTCHOWAS,130,2,2252,370,860,0.43,50,134,0.373,320,726,0.441,0.459,30,48,0.625,50,230,280,488,94,46,156,156,820
Herbert Jones,69,SF,,6'6,206,55,66,65,99,60,55,62,45,65,30,41,42,42,99,64,64,62,49,72,70,59,60,56,40,60,42,63,60,69,60,56,61,60,53,45,99,76,294,PF,23,NOP,78,69,2335,274,576,0.476,57,169,0.337,217,407,0.533,0.525,137,163,0.84,98,198,296,167,130,60,100,238,742
R.J. Hampton,69,SG,,6'4,175,67,71,62,99,60,89,69,30,65,30,40,44,47,99,75,75,73,44,79,60,78,73,60,50,61,39,61,50,67,53,30,40,40,31,61,99,79,216,SG,20,ORL,64,14,1402,175,457,0.383,64,183,0.35,111,274,0.405,0.453,75,117,0.641,23,171,194,158,42,13,87,101,489
