Player,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,2P%,eFG%,FT%,Season,Salary,Rating,Cap Maximum,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Aaron Brooks,25,82,82,35.6,7.0,16.2,2.5,6.4,4.5,9.8,3.0,3.6,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6,0.432,0.391,0.459,0.509,0.833,2010,1.119,71,58.04,0,0,1,0,0
Acie Law,25,52,2,37.2,5.5,11.3,0.7,2.3,4.8,9.0,6.3,8.0,0.4,1.9,2.4,4.0,2.0,0.1,2.4,2.6,17.8,0.487,0.304,0.533,0.518,0.788,2010,2.216,62,58.04,0,0,1,0,0
Adam Morrison,25,33,0,14.3,3.0,7.2,0.2,1.7,2.9,5.6,0.2,0.3,1.3,2.2,3.5,1.1,0.1,0.1,0.3,1.5,6.4,0.417,0.118,0.518,0.431,0.667,2010,5.257,55,58.04,0,0,0,1,0
Al Harrington,29,72,15,30.5,6.2,14.3,1.9,5.7,4.3,8.6,3.3,4.4,1.2,4.4,5.6,1.5,0.9,0.4,1.8,2.9,17.7,0.434,0.333,0.5,0.5,0.75,2010,10.027,75,58.04,0,1,0,0,0
Al Horford,23,92,92,70.4,11.9,22.1,0.1,0.1,11.8,21.9,5.0,6.1,5.4,13.5,18.9,4.1,1.4,2.8,2.9,6.0,28.8,0.538,1.0,0.539,0.541,0.82,2010,4.308,76,58.04,1,0,0,0,0
Al Jefferson,25,76,76,32.4,7.4,14.8,0.0,0.1,7.4,14.8,2.4,3.5,2.4,6.9,9.3,1.8,0.8,1.3,1.8,2.7,17.1,0.5,0.0,0.5,0.5,0.686,2010,12.0,84,58.04,1,0,0,0,0
Al Thornton,26,150,92,83.3,12.8,27.0,0.5,1.4,12.2,25.6,6.1,8.5,4.5,7.5,12.0,3.6,1.9,1.4,4.2,8.1,32.1,0.474,0.357,0.477,0.483,0.718,2010,1.9,67,58.04,0,0,0,1,0
Alando Tucker,25,30,0,19.2,3.3,7.6,0.2,1.1,3.2,6.5,2.6,3.3,1.2,1.0,2.1,0.9,0.0,0.0,1.0,1.2,9.3,0.434,0.182,0.492,0.447,0.788,2010,1.072,60,58.04,0,0,0,1,0
Amir Johnson,22,82,5,17.7,2.5,4.1,0.0,0.0,2.5,4.0,1.2,1.8,1.9,2.9,4.8,0.6,0.5,0.8,0.8,3.1,6.2,0.61,0.0,0.625,0.61,0.667,2010,3.667,63,58.04,0,1,0,0,0
Anderson Varejao,27,98,7,74.9,7.1,14.9,0.0,0.3,7.1,14.7,5.7,7.9,6.5,14.1,20.6,2.3,2.9,2.5,3.1,9.9,20.0,0.477,0.0,0.483,0.477,0.722,2010,6.3,67,58.04,0,1,0,0,0
