Player,Rating
Dwyane Wade,97
Kobe Bryant,97
LeBron James,97
Chris Paul,95
Carmelo Anthony,93
Deron Williams,92
Kevin Durant,91
Tim Duncan,90
Pau Gasol,89
Brandon Roy,88
Joe Johnson,88
Dwight Howard,88
Rajon Rondo,87
Manu Ginobili,87
Chris Bosh,87
Amare Stoudemire,86
Derrick Rose,85
Steve Nash,85
Andre Iguodala,85
Carlos Boozer,85
Monta Ellis,84
Stephen Jackson,84
Gerald Wallace,84
Jason Kidd,83
Chauncey Billups,83
Gilbert Arenas,83
Paul Pierce,83
Danny Granger,83
Josh Smith,83
David Lee,83
Dirk Nowitzki,83
Yao Ming,83
Tyreke Evans,82
Andrew Bogut,82
John Wall,81
Russell Westbrook,81
Vince Carter,81
Rudy Gay,81
Caron Butler,81
Brook Lopez,81
Stephen Curry,80
Aaron Brooks,80
Darren Collison,80
Kevin Martin,80
OJ Mayo,80
Zach Randolph,80
Kevin Garnett,80
Al Jefferson,80
Baron Davis,79
Ray Allen,79
Trevor Ariza,79
Lamar Odom,79
Devin Harris,78
Tony Parker,78
Jason Terry,78
Shawn Marion,78
Corey Maggette,78
Antawn Jamison,78
Luis Scola,78
Al Horford,78
Chris Kaman,78
Marcus Camby,78
Richard Hamilton,77
Grant Hill,77
Josh Childress,77
Luol Deng,77
Kenyon Martin,77
LaMarcus Aldridge,77
Jeff Green,77
Andrew Bynum,77
Marc Gasol,77
Emeka Okafor,77
Shaquille O'Neal,77
Andre Miller,76
Maurice Williams,76
Nate Robinson,76
Evan Turner,76
Ben Gordon,76
Jamal Crawford,76
George Hill,76
Terrence Williams,76
Tayshaun Prince,76
Shane Battier,76
Rashard Lewis,76
Blake Griffin,76
Kyle Lowry,75
Ty Lawson,75
Jameer Nelson,75
Brandon Jennings,75
Leandro Barbosa,75
Carl Landry,75
David West,75
Greg Oden,75
Nenê,75
Mehmet Okur,75
Rodney Stuckey,74
Jonny Flynn,74
Kirk Hinrich,74
Dahntay Jones,74
Eric Gordon,74
John Salmons,74
Richard Jefferson,74
Wilson Chandler,74
Andrei Kirilenko,74
Al Harrington,74
Paul Millsap,74
Michael Beasley,74
Kevin Love,74
Ben Wallace,74
Andrea Bargnani,74
Jermaine O'Neal,74
Raymond Felton,73
Louis Williams,73
Shannon Brown,73
Tracy McGrady,73
Michael Redd,73
Jason Richardson,73
Matt Barnes,73
Wesley Johnson,73
Derrick Favors,73
Elton Brand,73
Joakim Noah,73
Mike Conley,73
Hidayet Turkoglu,73
TJ Ford,72
Luke Ridnour,72
Mike Bibby,72
Mike Miller,72
Danilo Gallinari,72
Mickael Pietrus,72
Patrick Patterson,72
Marreese Speights,72
Andray Blatche,72
Troy Murphy,72
Kendrick Perkins,72
Will Bynum,71
Delonte West,71
Kelenna Azubuike,71
JR Smith,71
Jared Dudley,71
Josh Howard,71
Paul George,71
Brandon Bass,71
Thaddeus Young,71
Udonis Haslem,71
Charlie Villanueva,71
Jason Maxiell,71
Luc Mbah a Moute,71
Jason Thompson,71
Tyrus Thomas,71
Roy Hibbert,71
Brendan Haywood,71
Toney Douglas,70
Jrue Holiday,70
Jason Williams,70
Randy Foye,70
Anthony Parker,70
Raja Bell,70
Corey Brewer,70
James Posey,70
Damion James,70
Chase Budinger,70
Quentin Richardson,70
Boris Diaw,70
Anthony Randolph,70
Zydrunas Ilgauskas,70
Samuel Dalembert,70
DeMarcus Cousins,70
Chris Duhon,69
Ramon Sessions,69
Keyon Dooling,69
Mario Chalmers,69
DJ Augustin,69
Jarrett Jack,69
Rodrigue Beaubois,69
Jose Juan Barea,69
Derek Fisher,69
Ronnie Brewer,69
Willie Green,69
Marcus Thornton,69
Nicolas Batum,69
Travis Outlaw,69
Martell Webster,69
Jordan Hill,69
DeJuan Blair,69
Taj Gibson,69
Andris Biedrins,69
Marcin Gortat,69
Steve Blake,68
CJ Watson,68
Goran Dragic,68
DeShawn Stevenson,68
Alonzo Gee,68
Rudy Fernandez,68
Roger Mason,68
Courtney Lee,68
Carlos Delfino,68
Andres Nocioni,68
Joey Graham,68
Al Thornton,68
Al-Farouq Aminu,68
Kurt Thomas,68
Tyler Hansbrough,68
Chuck Hayes,68
Antonio McDyess,68
Anderson Varejao,68
Ekpe Udoh,68
Avery Bradley,67
Jordan Farmar,67
Gerald Henderson,67
Reggie Williams,67
Derrick Brown,67
Maurice Evans,67
Ed Davis,67
Yi Jianlian,67
Joel Przybilla,67
Greg Monroe,67
Jerryd Bayless,66
Patrick Mills,66
Beno Udrih,66
Marco Belinelli,66
Sasha Vujacic,66
Francisco Garcia,66
James Anderson,66
Dominique Jones,66
Charlie Bell,66
Wesley Matthews,66
Tony Allen,66
Thabo Sefolosha,66
JJ Redick,66
Nick Young,66
Marvin Williams,66
Renaldo Balkman,66
Luke Walton,66
Jonas Jerebko,66
Omri Casspi,66
Ryan Gomes,66
Quincy Pondexter,66
Trevor Booker,66
Jeff Foster,66
Tyson Chandler,66
Ronny Turiaf,66
Spencer Hawes,66
Chris Andersen,66
Brad Miller,66
Sebastian Telfair,65
Keith Bogans,65
Jordan Crawford,65
Anthony Morrow,65
Arron Afflalo,65
Brandon Rush,65
Sam Young,65
Jamario Moon,65
Mike Dunleavy,65
Larry Sanders,65
JJ Hickson,65
Leon Powe,65
Craig Brackins,65
Zaza Pachulia,65
Nazr Mohammed,65
Drew Gooden,65
Carlos Arroyo,64
Eric Bledsoe,64
Sundiata Gaines,64
Elliot Williams,64
DeMar DeRozan,64
Antoine Wright,64
Marquis Daniels,64
Cartier Martin,64
Julian Wright,64
Dorell Wright,64
Gordon Hayward,64
James Johnson,64
Brandan Wright,64
Josh Powell,64
Hakim Warrick,64
Glen Davis,64
Tiago Splitter,64
Eddy Curry,64
Robin Lopez,64
Ronnie Price,63
Jeff Teague,63
Garrett Temple,63
Quinton Ross,63
Kyle Korver,63
Dominic McGuire,63
Luke Babbitt,63
Lazar Hayward,63
Darrell Arthur,63
Ersan Ilyasova,63
Eduardo Najera,63
Joey Dorsey,63
Reggie Evans,63
Amir Johnson,63
Channing Frye,63
Danny Green,63
Marcus Banks,62
Patrick Beverley,62
Jermaine Taylor,62
Donte Greene,62
Anthony Tolliver,62
Craig Smith,62
Darius Songaila,62
Ryan Anderson,62
Jared Jeffries,62
Chris Wilcox,62
Aaron Gray,62
Daniel Gibson,61
Acie Law,61
Von Wafer,61
Wayne Ellington,61
Rasual Butler,61
Dante Cunningham,61
Dan Gadzuric,61
Etan Thomas,61
Shaun Livingston,60
Andy Rautins,60
Sonny Weems,60
Austin Daye,60
Shelden Williams,60
Erick Dampier,60
Theo Ratliff,60
DeMarre Carroll,59
DeSagana Diop,59
Daniel Orton,59
Hasheem Thabeet,59
Nenad Krstic,59
JaVale McGee,59
Jodie Meeks,58
DaJuan Summers,58
Joe Alexander,58
James Jones,58
Jason Kapono,58
CJ Miles,58
Malik Allen,58
Kevin Seraphin,58
Hilton Armstrong,58
Matt Bonner,58
Juwan Howard,58
Joel Anthony,58
Kosta Koufos,58
Anthony Carter,57
Jeremy Evans,57
Jamaal Magloire,57
David Andersen,57
Darko Milicic,57
Tony Battie,57
Eddie House,56
Jason Smith,56
Johan Petro,56
Matt Carroll,55
Linas Kleiza,55
Ryan Hollins,55
Josh McRoberts,54
Brian Cook,54
Hamed Haddadi,54
DeAndre Jordan,54
AJ Price,53
Jon Brockman,53
Vladimir Radmanovic,53
Sean Marks,53
Solomon Jones,53
Jason Collins,51
Ian Mahinmi,51
Didier Ilunga-Mbenga,51
Kyrylo Fesenko,49
Jarron Collins,48
BJ Mullens,46
Brian Scalabrine,44
Alexis Ajinca,43
