Player,Salary,Salary (adjusted)
Stephen Curry,43006362,50899072
Chris Paul,41358814,48949159
Russell Westbrook,41358814,48949159
James Harden,41254920,48826198
John Wall,41254920,48826198
Kevin Durant,40108950,47469914
LeBron James,39219566,46417307
Paul George,35450412,41956422
Klay Thompson,35361360,41851026
Mike Conley,34502132,40834109
Kemba Walker,34379100,40688498
Kawhi Leonard,34379100,40688498
Jimmy Butler,34379100,40688498
Tobias Harris,34358850,40664532
Blake Griffin,33900241,40121756
Kyrie Irving,33722850,39911810
Khris Middleton,33051724,39117516
Anthony Davis,32742000,38750950
Damian Lillard,31626953,37431265
Kevin Love,31258256,36994903
Ben Simmons,30559200,36167554
Pascal Siakam,30559200,36167554
Kyle Lowry,30500000,36097489
Steven Adams,29592695,35023672
Nikola Jokic,29542010,34963685
Andrew Wiggins,29542010,34963685
Joel Embiid,29542010,34963685
Kristaps Porzingis,29467800,34875855
Karl-Anthony Towns,29467800,34875855
Devin Booker,29467800,34875855
CJ McCollum,29354152,34741350
Andre Drummond,28751774,34028421
Bradley Beal,28751774,34028421
D'Angelo Russell,28649250,33907081
Gordon Hayward,28500000,33730441
Otto Porter,28489239,33717705
DeMar DeRozan,27739975,32830932
Giannis Antetokounmpo,27528088,32580159
Rudy Gobert,27525281,32576837
Al Horford,27500000,32546916
Jamal Murray,27285000,32292459
Brandon Ingram,27285000,32292459
Jrue Holiday,27026011,31985939
Nikola Vucevic,26000000,30771630
Jaylen Brown,25035118,29629669
Buddy Hield,24931817,29507409
Draymond Green,22246956,26329811
Harrison Barnes,22215909,26293066
Fred VanVleet,21250000,25149890
Victor Oladipo,21000000,24854009
Malcolm Brogdon,20700000,24498951
Julius Randle,19845000,23487038
Domantas Sabonis,19800000,23433780
Gary Harris,19610714,23209755
Danilo Gallinari,19500000,23078722
Zach LaVine,19500000,23078722
Jerami Grant,19050000,22546136
Tim Hardaway Jr,18975000,22457372
Terry Rozier,18900000,22368608
Aaron Gordon,18136364,21464826
Clint Capela,18000000,21303436
Bogdan Bogdanovic,18000000,21303436
Myles Turner,18000000,21303436
Goran Dragic,18000000,21303436
Bojan Bogdanovic,17850000,21125907
LaMarcus Aldridge,17628340,20863567
Gorgui Dieng,17587688,20815454
Evan Fournier,17150000,20297440
Ricky Rubio,17000000,20119912
Eric Bledsoe,16875000,19971971
Eric Gordon,16869267,19965186
Caris LeVert,16203704,19177476
Joe Harris,16071429,19020925
James Johnson,16047100,18992131
Dennis Schroeder,15500000,18344625
Cody Zeller,15415730,18244890
Danny Green,15365853,18185859
Jonas Valanciunas,15000000,17752863
Andre Iguodala,15000000,17752863
Davis Bertans,15000000,17752863
Marcus Morris,14883721,17615244
Rudy Gay,14500000,17161101
Kelly Oubre,14375000,17013161
Dejounte Murray,14286000,16907827
Will Barton,13723214,16241756
Thaddeus Young,13545000,16030835
Patrick Mills,13535714,16019845
Terrence Ross,13500000,15977577
Malik Beasley,13425895,15889872
Patrick Beverley,13333333,15780322
Christian Wood,13015874,15404602
JJ Redick,13013700,15402029
Justise Winslow,13000000,15385815
Marcus Smart,12946428,15322411
Jusuf Nurkic,12888889,15254312
Kelly Olynyk,12819650,15172366
Trevor Ariza,12800000,15149110
Brook Lopez,12697675,15028006
Dion Waiters,12650000,14971581
Cory Joseph,12600000,14912405
Markelle Fultz,12288697,14543970
Taurean Prince,12250000,14498172
Tony Snell,12178571,14413634
Robert Covington,12138345,14366025
Kentavious Caldwell-Pope,12073020,14288711
TJ Warren,12000000,14202290
Larry Nance Jr,11709091,13857993
Nicolas Batum,11608231,13738622
